nombre,ruta_completa,ruta_relativa,directorio_padre,tipo,extension,mime_type,tamano,fecha_modificacion,fecha_creacion,permisos,profundidad,categoria,dimension
FIUT_LevantamientoDatos_Avance2402(1).pptx,streamlit_app\FIUT_LevantamientoDatos_Avance2402(1).pptx,FIUT_LevantamientoDatos_Avance2402(1).pptx,,Archivo,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,7.10 MB,2025-02-27 00:40:41,2025-03-06 17:24:42,666,0,Ninguna,No asignada
FIUT_LevantamientoDatos_Avance2402.pptx,streamlit_app\FIUT_LevantamientoDatos_Avance2402.pptx,FIUT_LevantamientoDatos_Avance2402.pptx,,Archivo,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,7.12 MB,2025-02-26 23:12:05,2025-03-06 17:24:42,666,0,Ninguna,No asignada
Institucional,streamlit_app\Institucional,Institucional,,Directorio,,,946.16 MB,2025-03-06 17:24:50,2025-03-06 17:24:42,777,0,Institucional,Tecnologías de la Información
data lake,streamlit_app\Institucional\data lake,Institucional\data lake,Institucional,Directorio,,,10.16 MB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,1,Institucional,Tecnologías de la Información
Datos,streamlit_app\Institucional\data lake\Datos,Institucional\data lake\Datos,Institucional\data lake,Directorio,,,10.01 MB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,2,Institucional,Tecnologías de la Información
"Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas","streamlit_app\Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas","Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Institucional\data lake\Datos,Directorio,,,708.28 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
Data Proyetos Internos - Externos 2020-2024 DINV.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx","Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Data Proyetos Internos - Externos 2020-2024 DINV.xlsx","Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,52.58 KB,2025-02-16 19:39:54,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Publicaciones UTEM- 2020-2025.xlsx,"streamlit_app\Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas\Publicaciones UTEM- 2020-2025.xlsx","Institucional\data lake\Datos\Dimensión 1_ Modelo de Gestión, Costos, Datos, Gobernanza y Normativas",Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,655.70 KB,2025-02-16 19:33:22,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
Dimensión 2_ Infraestructura y equipamiento,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Institucional\data lake\Datos,Directorio,,,983.85 KB,2025-03-06 17:24:42,2025-03-06 17:24:42,777,3,Institucional,Tecnologías de la Información
02.ENCUESTA LEVANTAMIENTO RED DE LABORATORIOS  (respuestas).xlsx,streamlit_app\Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\02.ENCUESTA LEVANTAMIENTO RED DE LABORATORIOS  (respuestas).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento\02.ENCUESTA LEVANTAMIENTO RED DE LABORATORIOS  (respuestas).xlsx,Institucional\data lake\Datos\Dimensión 2_ Infraestructura y equipamiento,Archivo,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,120.99 KB,2025-02-16 19:53:43,2025-03-06 17:24:42,666,4,Institucional,Tecnologías de la Información
